Code matériel ;N° de série ;Catégorie ;Modèle ;Marque ;Statut ;Fin de garantie ;Localisation (dernier niveau) ;Entité (dernier niveau) ;Date inventaire ;Date d'installation ;Localisation (complet) ;Entité (complet) 
700418;V1CAT48 ;Onduleur ;- ;MGE ;En service ;;A.S.EDDEYER ;AG_S.EDDEYER ;;;A.T.B/*SFAX/A.S.EDDEYER ;AG/Z.SFAX/AG_S.EDDEYER 
700420;FOC0724W1YZ ;Switch ;2950;CISCO ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700439;CZC81712JY ;Serveur ;Proliant DL380 G5 ;HP ;En service ;;ETAGE 3 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 3 ;DIR/D.C.SYS.INFOR 
700450;YENB124384 ;Ecran ;"17 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700453;KDHACCZ ;Serveur ;X3650 ;IBM ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700455;FCZ1029122L ;Routeur ;1700;CISCO ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700469;FOC1120Z14H ;Switch ;2960;CISCO ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700471;YV3J056229 ;Ecran ;"20 """;SIEMENS ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700474;KDVYDCD ;Serveur ;X3650 ;IBM ;En service ;;ETAGE 3 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 3 ;DIR/D.C.SYS.INFOR 
700482;FCZ10291233 ;Routeur ;1700;CISCO ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
700484;FCZ12247338 ;Routeur ;2811;CISCO ;En service ;;ETAGE 2 ;D.C.SYS.INFOR ;;;A.T.B/LOC1(SIEGE)/ETAGE 2 ;DIR/D.C.SYS.INFOR 
